src,dst,kind,relation,confidence,basis
ecom.orders,blended.orders,crossproduct,contributes_to,0.9,aggregation of orders across products
ecom.revenue,blended.revenue,crossproduct,contributes_to,0.9,aggregation of revenue across products
google.conversion_value,blended.conversion_value,crossproduct,contributes_to,0.9,aggregation of conversion_value across products
google.conversions,blended.conversions,crossproduct,contributes_to,0.9,aggregation of conversions across products
google.impressions,blended.impressions,crossproduct,contributes_to,0.9,aggregation of impressions across products
google.revenue,blended.revenue,crossproduct,contributes_to,0.9,aggregation of revenue across products
google.spend,blended.spend.sum,crossproduct,contributes_to,0.9,aggregation of spend across products
klaviyo.revenue,blended.revenue,crossproduct,contributes_to,0.9,aggregation of revenue across products
klaviyo.revenue.sum,blended.revenue,crossproduct,contributes_to,0.9,aggregation of revenue across products
meta.impressions,blended.impressions,crossproduct,contributes_to,0.9,aggregation of impressions across products
meta.impressions.sum,blended.impressions,crossproduct,contributes_to,0.9,aggregation of impressions across products
meta.reach,blended.reach.sum,crossproduct,contributes_to,0.9,aggregation of reach across products
meta.reach.sum,blended.reach.sum,crossproduct,contributes_to,0.9,aggregation of reach across products
meta.spend,blended.spend.sum,crossproduct,contributes_to,0.9,aggregation of spend across products
meta.spend.sum,blended.spend.sum,crossproduct,contributes_to,0.9,aggregation of spend across products
store.new_customers,blended.new_customers,crossproduct,contributes_to,0.9,aggregation of new_customers across products
store.returning_customers,blended.returning_customers,crossproduct,contributes_to,0.9,aggregation of returning_customers across products
store.revenue,blended.revenue,crossproduct,contributes_to,0.9,aggregation of revenue across products
store.revenue.sum,blended.revenue,crossproduct,contributes_to,0.9,aggregation of revenue across products
store.sessions,blended.sessions,crossproduct,contributes_to,0.9,aggregation of sessions across products
web.orders,blended.orders,crossproduct,contributes_to,0.9,aggregation of orders across products
web.revenue,blended.revenue,crossproduct,contributes_to,0.9,aggregation of revenue across products
web.sessions,blended.sessions,crossproduct,contributes_to,0.9,aggregation of sessions across products
